ID,메인분류,서브분류,상품명,가격
a1,간편식사,샌드위치/햄버거,도)간장마늘고기구이,4900
a2,간편식사,샌드위치/햄버거,햄)마라스테이크버거,3500
a3,간편식사,샌드위치/햄버거,도)얼큰돈까스김치나베,6900
a4,간편식사,샌드위치/햄버거,도)모듬어묵탕,6900
a5,간편식사,샌드위치/햄버거,샌)망곰이의딸기샌드,3600
a6,간편식사,샌드위치/햄버거,주)3XL중화비빔삼각,1500
a7,간편식사,샌드위치/햄버거,샐)풀드포크샐러드,5900
a8,간편식사,샌드위치/햄버거,도)자이언트머스타드치킨,9900
a9,간편식사,샌드위치/햄버거,샐)눈꽃토마토샐러드,4800
a10,간편식사,샌드위치/햄버거,햄)그릴드치킨버거,3800
a11,간편식사,샌드위치/햄버거,샌)스윗스윗맛있구마,3400
a12,간편식사,샌드위치/햄버거,도)바삭오렌지치킨,6900
a13,간편식사,샌드위치/햄버거,샐)과카몰리부리또볼,5900
a14,간편식사,샌드위치/햄버거,샐)스노우볼바질샐러드,4800
a15,간편식사,샌드위치/햄버거,김)햄말이김치볶음참치,2000
a16,간편식사,샌드위치/햄버거,샌)로우쏭슬라이더,4200
a17,간편식사,샌드위치/햄버거,샌)페퍼로니에그토스트,3500
a18,간편식사,샌드위치/햄버거,면)바삭새우온소바,5600
a19,간편식사,샌드위치/햄버거,면)김치카츠나베우동,5600
a20,간편식사,샌드위치/햄버거,김)백종원뉴열탄제육김밥,3000
a21,간편식사,샌드위치/햄버거,햄)망곰이의꿀호떡버거,3400
a22,간편식사,샌드위치/햄버거,햄)국민새우버거,3500
a23,간편식사,샌드위치/햄버거,도)로스트닭가슴살덮밥,4700
a24,간편식사,샌드위치/햄버거,샐)로스트치킨버섯샐러드,5900
a25,간편식사,샌드위치/햄버거,김)멸추랑꼬마김밥,4500
a26,간편식사,샌드위치/햄버거,주)소금구이너비아니밥바,2300
a27,간편식사,샌드위치/햄버거,김)소금구이너비아니김밥,3000
a28,간편식사,샌드위치/햄버거,주)2XL간장바싹불고기,1600
a29,간편식사,샌드위치/햄버거,주)3XL뉴크랩참치마요,1700
a30,간편식사,샌드위치/햄버거,주)3XL뉴동원고추참치,1700
a31,간편식사,샌드위치/햄버거,김)백종원뉴비빔밥한줄,3000
a32,간편식사,샌드위치/햄버거,김)동원뉴고추참치김밥,3100
a33,간편식사,샌드위치/햄버거,김)고구마치즈돈까스김밥,3300
a34,간편식사,샌드위치/햄버거,도)치즈닭갈비고구마밥,5000
a35,간편식사,샌드위치/햄버거,샌)몽블랑크림샌드,3400
a36,간편식사,샌드위치/햄버거,샐)놀라운파스타샐러드,2300
a37,간편식사,샌드위치/햄버거,샐)놀라운계란샐러드,2500
